,time
0,49.40670371055603
1,33.03736066818237
2,42.43726849555969
3,42.65837240219116
4,111.70579695701599
5,95.56883597373962
6,71.07026481628418
7,45.9370436668396
8,108.1085479259491
9,82.19830918312073
10,112.57879686355591
11,36.812660932540894
12,40.46822810173035
13,44.22809147834778
14,40.2048978805542
15,27.756563901901245
16,37.360413551330566
17,46.21985220909119
18,41.09579825401306
19,37.8561053276062
20,35.722508907318115
21,29.5263888835907
22,157.48678994178772
23,70.31739592552185
24,90.9758996963501
25,35.693873167037964
26,24.809717178344727
27,44.661717653274536
28,54.826019048690796
29,113.49065685272217
30,98.73842167854309
31,97.39558029174805
32,80.10427403450012
33,41.661593437194824
34,51.279590129852295
35,40.7341628074646
36,15.692609071731567
37,24.971890211105347
38,38.33009219169617
39,16.081830978393555
40,33.80134439468384
41,25.987064123153687
42,58.33298921585083
43,56.122483015060425
44,68.39771699905396
45,106.00911355018616
46,115.463796377182
47,61.44879221916199
48,52.54560303688049
49,31.518128156661987
50,39.09686303138733
51,152.880056142807
52,27.224520921707153
53,42.493913412094116
54,100.85561609268188
55,92.01461148262024
56,115.65663385391235
57,71.21937131881714
58,56.37087965011597
59,74.1348147392273
60,37.77852129936218
61,81.0341145992279
62,78.80555248260498
63,59.63248801231384
64,69.56891441345215
65,85.52644228935242
66,63.6094536781311
67,20.210537910461426
68,47.11719465255737
69,51.11521506309509
70,40.49453949928284
71,20.64283514022827
72,12.73875880241394
73,22.22530484199524
74,35.58054780960083
75,32.60946798324585
76,23.40885066986084
77,37.720017194747925
78,16.929367542266846
79,53.5021185874939
80,29.799531936645508
81,42.96937942504883
82,38.11926794052124
83,84.08804726600647
84,54.72171592712402
85,3.2527947425842285
86,41.41405892372131
87,36.38224124908447
88,33.95681953430176
89,32.72482490539551
